TrialNum,Operation,CPU Time (ms)
1,math,70773
2,math,70765
3,math,70812
4,math,70742
5,math,70796
6,math,70773
7,math,70804
8,math,70773
9,math,70804
10,math,70789
11,math,70773
12,math,70796
13,math,70773
14,math,70796
15,math,70781
16,math,70789
17,math,70773
18,math,70781
19,math,70796
20,math,70796
21,math,70773
22,math,70796
23,math,70765
24,math,70812
25,math,70781
26,math,70765
27,math,70789
28,math,70757
29,math,70765
30,math,70765
31,math,70789
32,math,70773
33,math,70789
34,math,70796
35,math,70789
36,math,70796
37,math,70796
38,math,70765
39,math,70804
40,math,70765
41,math,70773
42,math,70789
43,math,70765
44,math,70789
45,math,70773
46,math,70789
47,math,70781
48,math,70750
49,math,70757
50,math,70781
51,math,70750
52,math,70765
53,math,70789
54,math,70781
55,math,70765
56,math,70781
57,math,70781
58,math,70757
59,math,70757
60,math,70773
61,math,70773
62,math,70781
63,math,70765
64,math,70781
65,math,70789
66,math,70789
67,math,70773
68,math,70773
69,math,70789
70,math,70789
71,math,70812
72,math,70750
73,math,70773
74,math,70789
75,math,70765
76,math,70796
77,math,70796
78,math,70804
79,math,70796
80,math,70757
81,math,70789
82,math,70796
83,math,70757
84,math,70789
85,math,70789
86,math,70773
87,math,70773
88,math,70789
89,math,70796
90,math,70789
91,math,70781
92,math,70773
93,math,70781
94,math,70765
95,math,70773
96,math,70781
97,math,70796
98,math,70781
99,math,70804
100,math,70773
1,int,1000
2,int,992
3,int,992
4,int,992
5,int,992
6,int,992
7,int,992
8,int,992
9,int,992
10,int,992
11,int,992
12,int,992
13,int,992
14,int,1000
15,int,992
16,int,992
17,int,992
18,int,992
19,int,992
20,int,992
21,int,992
22,int,992
23,int,992
24,int,992
25,int,992
26,int,1000
27,int,992
28,int,992
29,int,992
30,int,992
31,int,1000
32,int,992
33,int,992
34,int,992
35,int,1000
36,int,992
37,int,992
38,int,992
39,int,992
40,int,992
41,int,992
42,int,1000
43,int,992
44,int,984
45,int,992
46,int,1000
47,int,992
48,int,992
49,int,984
50,int,992
51,int,992
52,int,1000
53,int,992
54,int,992
55,int,992
56,int,1000
57,int,992
58,int,984
59,int,992
60,int,992
61,int,992
62,int,992
63,int,992
64,int,984
65,int,992
66,int,992
67,int,1000
68,int,992
69,int,992
70,int,992
71,int,992
72,int,992
73,int,992
74,int,992
75,int,992
76,int,992
77,int,992
78,int,992
79,int,992
80,int,992
81,int,984
82,int,1000
83,int,984
84,int,992
85,int,1000
86,int,984
87,int,992
88,int,1000
89,int,992
90,int,992
91,int,992
92,int,1000
93,int,992
94,int,992
95,int,992
96,int,992
97,int,992
98,int,992
99,int,992
100,int,992
1,float,804
2,float,804
3,float,804
4,float,804
5,float,804
6,float,804
7,float,804
8,float,804
9,float,804
10,float,804
11,float,804
12,float,804
13,float,804
14,float,804
15,float,804
16,float,804
17,float,796
18,float,812
19,float,804
20,float,804
21,float,804
22,float,804
23,float,804
24,float,804
25,float,804
26,float,804
27,float,804
28,float,804
29,float,804
30,float,804
31,float,804
32,float,804
33,float,804
34,float,804
35,float,804
36,float,804
37,float,804
38,float,804
39,float,804
40,float,804
41,float,804
42,float,804
43,float,804
44,float,804
45,float,804
46,float,804
47,float,804
48,float,804
49,float,804
50,float,804
51,float,804
52,float,804
53,float,804
54,float,804
55,float,804
56,float,804
57,float,804
58,float,812
59,float,804
60,float,804
61,float,804
62,float,804
63,float,804
64,float,804
65,float,804
66,float,804
67,float,804
68,float,804
69,float,804
70,float,804
71,float,804
72,float,804
73,float,804
74,float,804
75,float,804
76,float,804
77,float,804
78,float,804
79,float,804
80,float,804
81,float,804
82,float,804
83,float,804
84,float,804
85,float,804
86,float,804
87,float,804
88,float,804
89,float,804
90,float,804
91,float,812
92,float,804
93,float,804
94,float,804
95,float,804
96,float,804
97,float,804
98,float,804
99,float,804
100,float,804
1,array,1664
2,array,1687
3,array,1437
4,array,1687
5,array,1429
6,array,1429
7,array,1437
8,array,1437
9,array,1437
10,array,1437
11,array,1437
12,array,1437
13,array,1437
14,array,1437
15,array,1437
16,array,1437
17,array,1429
18,array,1437
19,array,1437
20,array,1437
21,array,1437
22,array,1437
23,array,1437
24,array,1429
25,array,1437
26,array,1437
27,array,1437
28,array,1437
29,array,1437
30,array,1437
31,array,1437
32,array,1437
33,array,1429
34,array,1445
35,array,1429
36,array,1437
37,array,1437
38,array,1437
39,array,1437
40,array,1437
41,array,1429
42,array,1437
43,array,1437
44,array,1437
45,array,1437
46,array,1437
47,array,1437
48,array,1437
49,array,1437
50,array,1437
51,array,1429
52,array,1437
53,array,1437
54,array,1437
55,array,1437
56,array,1437
57,array,1437
58,array,1437
59,array,1429
60,array,1437
61,array,1437
62,array,1437
63,array,1437
64,array,1437
65,array,1437
66,array,1437
67,array,1437
68,array,1437
69,array,1429
70,array,1437
71,array,1437
72,array,1437
73,array,1437
74,array,1437
75,array,1437
76,array,1437
77,array,1437
78,array,1437
79,array,1429
80,array,1429
81,array,1437
82,array,1437
83,array,1437
84,array,1437
85,array,1437
86,array,1437
87,array,1437
88,array,1437
89,array,1429
90,array,1437
91,array,1437
92,array,1437
93,array,1437
94,array,1437
95,array,1437
96,array,1437
97,array,1437
98,array,1437
99,array,1437
100,array,1437
